epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.0272,0.93868,4.07413,1.25602,0.04923,0.72573,0.1247,0.09967,0.72535,3.50271,1.10742,0.00016832,0.00016832,0.00016832
2,78.7497,0.74834,3.01185,1.10457,0.51937,0.19815,0.21669,0.18092,0.74721,2.69256,1.09602,0.000330617,0.000330617,0.000330617
3,114.521,0.72386,2.44559,1.07413,0.38556,0.33215,0.28513,0.22898,0.78415,2.44881,1.18268,0.000481458,0.000481458,0.000481458
4,150.583,0.71012,2.06816,1.05678,0.43917,0.4583,0.3953,0.31239,0.7795,2.14753,1.12192,0.000473926,0.000473926,0.000473926
5,186.866,0.67728,1.74806,1.04105,0.4889,0.54219,0.52524,0.42657,0.75456,1.59246,1.09685,0.000456568,0.000456568,0.000456568
6,223.015,0.64964,1.57188,1.03014,0.71219,0.6198,0.68837,0.55911,0.75782,1.35222,1.08636,0.00043921,0.00043921,0.00043921
7,259.376,0.64944,1.40865,1.02308,0.70755,0.62915,0.70451,0.59206,0.69657,1.23666,1.03611,0.000421852,0.000421852,0.000421852
8,295.709,0.64168,1.28675,1.01931,0.80149,0.65243,0.77602,0.63886,0.72832,0.94312,1.10816,0.000404494,0.000404494,0.000404494
9,332.113,0.61782,1.17189,1.00619,0.8322,0.7191,0.8208,0.6957,0.65808,0.84639,1.0118,0.000387136,0.000387136,0.000387136
10,368.545,0.60592,1.11561,1.00326,0.86563,0.73907,0.84906,0.71331,0.67824,0.77695,1.03039,0.000369778,0.000369778,0.000369778
11,404.982,0.59672,1.0208,0.98999,0.921,0.74156,0.86043,0.73197,0.64665,0.73731,0.99904,0.00035242,0.00035242,0.00035242
12,441.489,0.59421,0.98403,0.99233,0.89143,0.76269,0.8662,0.73001,0.65192,0.73721,1.00438,0.000335062,0.000335062,0.000335062
13,477.987,0.58551,0.93633,0.98889,0.92127,0.80769,0.89712,0.76322,0.61055,0.58309,0.97149,0.000317704,0.000317704,0.000317704
14,514.517,0.57207,0.89507,0.9818,0.93277,0.81645,0.90602,0.77534,0.61372,0.55291,0.98201,0.000300346,0.000300346,0.000300346
15,551.047,0.57739,0.87327,0.98351,0.92136,0.79144,0.89565,0.76476,0.61244,0.56905,0.97767,0.000282988,0.000282988,0.000282988
16,587.489,0.56632,0.81688,0.97732,0.93291,0.81556,0.90692,0.77513,0.60371,0.5269,0.9738,0.00026563,0.00026563,0.00026563
17,623.989,0.55684,0.78787,0.97785,0.9184,0.81671,0.90327,0.77237,0.59235,0.53614,0.95992,0.000248272,0.000248272,0.000248272
18,660.464,0.55287,0.77581,0.96975,0.9349,0.81866,0.91081,0.77992,0.6066,0.51263,0.97603,0.000230914,0.000230914,0.000230914
19,696.956,0.54821,0.74651,0.97415,0.93243,0.83268,0.91502,0.78364,0.59349,0.49356,0.96744,0.000213556,0.000213556,0.000213556
20,733.571,0.54283,0.72538,0.96462,0.9386,0.84351,0.93009,0.7963,0.59368,0.47141,0.96737,0.000196198,0.000196198,0.000196198
21,774.747,0.55102,0.65602,0.9451,0.93815,0.85286,0.92487,0.79318,0.58289,0.49845,0.95672,0.00017884,0.00017884,0.00017884
22,811.232,0.53514,0.58599,0.93808,0.92443,0.86201,0.92563,0.7935,0.5821,0.46887,0.9552,0.000161482,0.000161482,0.000161482
23,847.558,0.52691,0.54921,0.92958,0.94797,0.85592,0.93292,0.79395,0.59192,0.45259,0.96363,0.000144124,0.000144124,0.000144124
24,883.875,0.52171,0.53237,0.92786,0.93884,0.86872,0.93934,0.80726,0.57411,0.41729,0.95065,0.000126766,0.000126766,0.000126766
25,920.328,0.51398,0.50716,0.92478,0.96151,0.86099,0.94101,0.81538,0.57148,0.41516,0.94525,0.000109408,0.000109408,0.000109408
26,956.658,0.50861,0.48995,0.91855,0.93069,0.88204,0.9429,0.81461,0.56881,0.406,0.94411,9.205e-05,9.205e-05,9.205e-05
27,992.934,0.49154,0.46372,0.91393,0.96965,0.86774,0.94842,0.82291,0.55563,0.37992,0.93898,7.4692e-05,7.4692e-05,7.4692e-05
28,1029.27,0.48984,0.46127,0.91356,0.9498,0.88091,0.94823,0.82442,0.55616,0.37522,0.93625,5.7334e-05,5.7334e-05,5.7334e-05
29,1065.47,0.4907,0.44949,0.90836,0.95599,0.88559,0.95084,0.8221,0.55997,0.37535,0.93987,3.9976e-05,3.9976e-05,3.9976e-05
30,1101.78,0.47729,0.43901,0.90023,0.95335,0.88274,0.95157,0.82473,0.54848,0.36626,0.93486,2.2618e-05,2.2618e-05,2.2618e-05
